image_path,boat_model,photo_type,boat_type
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/f74605fbf27e.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/c44316b475fb.jpg,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/ca14b52f194b.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/b2a2684c2201.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/731f9b222b59.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/6d13fe90b1aa.jpg,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/d7472c1718d9.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/1fb8d6cad7eb.jpg,HH 52,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/3d63d5343225.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/f7a1a158180d.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/b1045bf5a20f.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/75b6c125bea3.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/903fb5474dd9.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/5c699b38a146.png,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/3e1110af0865.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/a78660be93cc.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/2b252ad57f55.jpg,HH 52,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/fe75a2161c6b.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/HH 52/71acc3b95900.png,HH 52,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/db67a241364c.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/b3706ec5a6c7.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/0944429d6a52.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/f58abbd3a61c.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/bcd9ccaf3a2f.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/fbc103e4c547.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/201807070266.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/c9d9dc9a3522.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/ef9dc392328e.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/076fe2f2770f.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/c60d842534d4.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/5abc4c0d0c97.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/15aca1db9165.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/541ceab2177b.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/2b1b8d383e9c.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/0b3ff2e73023.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/4885f8ee59e6.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/d5ff4d24b292.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/2c9eaf0a37f4.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/1d6b46a26fe4.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/9ae865332678.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/d550dc2725a1.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/84b7ae927502.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/81329068cbc2.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/ff7ff8f87817.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/e599da79fccc.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/091d5f526f80.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/2c87c0d5f64c.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/0a7ea49dea1a.jpg,Spirit 111,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Spirit 111/e8d7792121ed.jpg,Spirit 111,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/492070d36f09.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/7417fa6cb1fa.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/4347711721e8.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/58819f3728e8.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/2df0e7992d81.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/3a1db7842695.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/bbe581ecc75e.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/96f757b69374.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/d8a6955f850b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ff8c1e65fb10.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/a4c908cf578a.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/9726c1c164bd.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ea617abbdf8c.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/3a0b7de01162.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/57105622cd50.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/1da7f378df32.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/f4b94bd18444.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/9c6c40091f98.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/d573882ec058.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/03e0b2e5d5f6.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ee84a7f3ab4b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/5ddec0ebfa1b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/1e846d8f4443.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/970e85a77a38.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/255f3bd3e595.jpg,Y Yachts Y9,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/db0292ca927d.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/c12fcb6cd3ac.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/b731a38e6886.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/71ebad55d0ca.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/c2c527d9f190.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/80ef1b826950.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ef9c74b26f5d.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/7bf13143772f.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/50ce3c041d78.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/fe2f97c8e97c.jpg,Y Yachts Y9,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/7399847aed89.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/5f57b2f09b10.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/4ebb2572477b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ee8230a4b35a.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/b7eb5d52ff0b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/938e9ca175f4.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ed4f24c2fbee.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/1192892e97e5.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/c0d31147a6f0.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/082cacacf424.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/992c15eaf4b2.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/401281b5a5ee.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/d04769d85c65.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/5e855253de0c.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/0ee25759f271.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/9052355b58b0.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/82e2c6a229f0.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/9e3a0868abbf.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/e9379ebd1bc0.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/aaa9716a8334.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/64cdd6bc08f4.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/130bc064d42c.jpg,Y Yachts Y9,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/03f3c5598cc8.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/6c765a282d2b.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/3ea9c2c7c3f5.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/ca4c9dd49dc6.jpg,Y Yachts Y9,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/1f0ba9b89a77.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/00dd03240a33.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Y Yachts Y9/b2863b3f6e0e.jpg,Y Yachts Y9,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/bd14fd75f2e6.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/1e3f5c8570b6.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/9ae4026cb691.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/d30572566f1c.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/f783505412df.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/42a9d6b40a00.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/dc154925e8ea.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/4e8a0d5c013c.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/0b10a657b903.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/fb2e551dd20a.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/c2c18c18f2d5.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/f934605525ba.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/98064026c691.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/b9c05eebabfd.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/4b8d0f079cdb.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/6fb6151345b7.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/f99b68824efb.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/aabe6abb91ab.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/a95e6529522c.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/cb8667af031e.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/bbbc0d4cf19e.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/ac2d1fac1cbd.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/0a9565a9a005.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/4d2d2215d56c.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/74d2b9cf8eb1.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/62248b4d3a6f.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/3504c7f170f4.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/321521ab8b6b.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/c641339b0158.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/9e52f5985635.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/784325c71eb7.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/7d150060a7b1.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/9c4de864786d.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/1c6f4dd4ea23.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/879ff489f349.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/98a9d37161d3.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/2515349e2790.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/14dbcafdbae6.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/ff425c7e8bcb.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/d201bf37559a.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/baa72aa59f95.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/b833d48d7235.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/432eb0dbda62.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/91f21acd26ce.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/a1290118107e.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/195bb2904929.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/d7f8cd7270d6.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/3132e5017e53.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/4900a05c0859.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/bfcb051920cc.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/194d619c7844.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/500dcf870275.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/e0b9fc5855ea.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/b5c176bf9c60.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/8f4787531315.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/9dbcb8e2c03f.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/2dac6b9d74e3.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/244488e9990b.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/5d57ff6e953d.jpg,Vision 444,boat,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/f985d98c341a.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/8a045943ee3d.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/11cf1e133b39.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/e8869197991e.jpg,Vision 444,out,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/810e5f4f0d5a.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/e245ea16717b.jpg,Vision 444,in,seal
/home/msolonin/Desktop/YachtDatasets/scrapper/images_SEAL/Vision 444/037825123255.jpg,Vision 444,out,seal
