boat_name,boat_type,boat_description,price,boat_url,loa_m,loa_ft,beam_m,beam_ft,draft_m,draft_ft,deadweight_t,displacement_t,fuel_capacity_l,water_tank_l,max_people,cabins,berths_for_guests,bathrooms,mainsail_m2,mainsail_optional_m2,jib_self_m2,genoa_m2,gennaker_m2,code_zero_m2,keel,ce_class,hull_type,hull_material,design,type_by_usage,deck_arrangement,builder,country,series,model,period_of_manufacture,crew,genoa_optional_m2,code_zero_optional_m2,spinnaker_optional_m2,mainsail_in_m2,spinnaker_m2,jib_m2,jib_optional_m2,max_speed_kt,cruising_speed_kt,gennaker_optional_m2,mainsail_lazy_bag_m2,mainsail_lazy_bag_optional_m2,jib_self_optional_m2,genoa_self_optional_m2,code_zero_optional_optional_m2,spinnaker_optional_optional_m2
Contest 72CS,Sailing yacht,"The Contest 72CS is produced by the brand Contest Yachts since 2013. Contest 72CS is a 21.80 meters luxury cruising yacht with 4 guest cabins and a draft of 2.80 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Contest 72CS is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1745-contest-yachts-72cs,21.8,71.58333333333333,5.7,18.75,2.8,9.25,,44.3 (half load),1700.0,1018.0,,4.0,8.0,3.0,,,,129.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Contest Yachts,Netherlands,Sailing,72CS,from 2013,2.0,,,,133.0,,,,,,,,,,,,
Contest 42CS,Sailing yacht,"The Contest 42CS is produced by the brand Contest Yachts since 2013. Contest 42CS is a 12.85 meters luxury cruising yacht with 3 guest cabins and a draft of 2.20 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Contest 42CS is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1744-contest-yachts-42cs,12.85,42.166666666666664,4.15,13.666666666666666,2.2,7.25,,11 (half load),226.0,381.0,,3.0,6.0,2.0,57.0,,,47.0,,,Fixed,B - Sea,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Contest Yachts,Netherlands,Sailing,42CS,from 2013,,,,,,,,,,,,,,,,,
Grand Soleil 80 Custom,Sailing yacht,"The Grand Soleil 80 Custom is produced by the brand Grand Soleil since 2018. Grand Soleil 80 Custom is a 25.95 meters maxi yacht with 5 guest cabins and a draft of 4.45 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Grand Soleil 80 Custom is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7922-grand-soleil-80-custom,25.95,85.16666666666667,6.49,21.333333333333332,4.45,14.666666666666666,,32.95 (half load),1500.0,1500.0,,5.0,10.0,5.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Designer / High-Tech,Performance Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,80 Custom,from 2018,,,,,,,,,,,,,,,,,
Grand Soleil 48,Sailing yacht,"The Grand Soleil 48 is produced by the brand Grand Soleil since 2018. Grand Soleil 48 is a 14.90 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 2.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Grand Soleil 48 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7921-grand-soleil-48,14.9,48.916666666666664,4.5,14.833333333333334,2.6,8.583333333333334,,11.5 (half load),220.0,360.0,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,48,from 2018,,,,,,,,,,,,,,,,,
Grand Soleil 34,Sailing yacht,"The Grand Soleil 34 is produced by the brand Grand Soleil since 2017. Grand Soleil 34 is a 10.70 meters sport cruiser with 2 guest cabins and a draft of 2.18 meters. The yacht has a fiberglass / grp hull with a CE certification class (B) and can navigate no further than 200 miles off the coastline. The base price of a new Grand Soleil 34 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7920-grand-soleil-34,10.7,35.166666666666664,3.6,11.833333333333334,2.18,7.166666666666667,,4.9 (half load),,,,2.0,4.0,1.0,40.0,,,31.0,110.0,,Fixed,B - Sea,Monohull,Fiberglass / GRP,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,34,from 2017,,,,,,,,,,,,,,,,,
Grand Soleil 52 LC,Sailing yacht,"The Grand Soleil 52 LC is produced by the brand Grand Soleil since 2016. Grand Soleil 52 LC is a 17.05 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 2.55 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Grand Soleil 52 LC is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7369-grand-soleil-52-lc,17.05,56.0,4.9,16.083333333333332,2.55,8.416666666666666,,16.9 (half load),300.0,600.0,,3.0,6.0,3.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,52 LC,from 2016,,,,,,,,,,,,,,,,,
Grand Soleil 46 LC,Sailing yacht,The Grand Soleil 46 LC is produced by the brand Grand Soleil since 2016. Grand Soleil 46 LC is a 14.72 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 2.30 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Grand Soleil 46 LC is €369.0 thousand.,"from €369,000",https://itboat.com/models/7368-grand-soleil-46-lc,14.72,48.333333333333336,4.41,14.5,2.3,7.583333333333333,,12 (half load),300.0,600.0,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,46 LC,from 2016,,,,,,,,,,,,,,,,,
Grand Soleil 58,Sailing yacht,The Grand Soleil 58 is produced by the brand Grand Soleil since 2016. Grand Soleil 58 is a 17.50 meters sport cruiser with 3 guest cabins and a draft of 2.90 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Grand Soleil 58 is €859.0 thousand.,"from €859,000",https://itboat.com/models/7367-grand-soleil-58,17.5,57.416666666666664,5.2,17.083333333333332,2.9,9.583333333333334,,18.9 (half load),600.0,800.0,,3.0,10.0,3.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Grand Soleil,Italy,,58,from 2016,,,,,,,,,,,,,,,,,
Jeanneau Sun Odyssey 349,Sailing yacht,"The Jeanneau Sun Odyssey 349 is produced by the brand Jeanneau since 2014. Jeanneau Sun Odyssey 349 is a 10.34 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 1.98 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Jeanneau Sun Odyssey 349 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4802-jeanneau-sun-odyssey-349,10.34,34.0,3.44,11.333333333333334,1.98,6.5,,5.35 (half load),130.0,206.0,,3.0,6.0,1.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Jeanneau,France,Sun Odyssey,Sun Odyssey 349,from 2014,,,,,,,,,,,,,,,,,
Leopard 50,Sailing yacht,The Leopard 50 is produced by the brand Leopard since 2017. Leopard 50 is a 15.40 meters sailing cruising multihull with 5 guest cabins and a draft of 1.60 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Leopard 50 is €1.2 million.,"from €1,240,000",https://itboat.com/models/9339-leopard-50,15.4,50.583333333333336,8.04,26.416666666666668,1.6,5.25,,19 (half load),920.0,700.0,,5.0,10.0,5.0,90.0,95.0,,64.0,,90.0,Fixed,A - Ocean,Catamaran,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Leopard,SOUTH AFRICA,Sail,50,from 2017,,,,,,220.0,,,,,,,,,,,
Shipman 72,Sailing yacht,"The Shipman 72 is produced by the brand Shipman since 2016. Shipman 72 is a 21.95 meters luxury cruising yacht with 4 guest cabins and a draft of 3.50 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Shipman 72 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/263-shipman-72,21.95,72.08333333333333,5.49,18.083333333333332,3.5,11.5,,23.5 (half load),1500.0,800.0,,4.0,,,142.0,,,,,,Fixed,A - Ocean,Monohull,Carbon,Modern / Mainstream,Cruiser,With mediterranean cockpit,Shipman,Slovenia,,72,from 2016,,,,,,390.0,120.0,,,,,,,,,,
Shipman 100,Sailing yacht,"The Shipman 100 is produced by the brand Shipman since 2013. Shipman 100 is a 30.48 meters luxury cruising yacht with 3 guest cabins and a draft of 3 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Shipman 100 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4481-shipman-100,30.48,100.08333333333333,6.5,21.333333333333332,3.0,9.916666666666666,,43 (half load),1500.0,500.0,,3.0,6.0,,241.0,,,,,,Fixed,A - Ocean,Monohull,Carbon,Modern / Mainstream,Cruiser,With mediterranean cockpit,Shipman,Slovenia,,100,from 2013,,,,,,626.0,204.0,,,,,,,,,,
Shipman 59,Sailing yacht,"The Shipman 59 is produced by the brand Shipman since 2013. Shipman 59 is a 18.90 meters luxury cruising yacht with 4 guest cabins and a draft of 2.85 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Shipman 59 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/4480-shipman-59,18.9,62.083333333333336,5.29,17.416666666666668,2.85,9.416666666666666,,17.8 (half load),1000.0,600.0,,4.0,8.0,,87.0,,,,,,Fixed,A - Ocean,Monohull,Carbon,Modern / Mainstream,Cruiser,With mediterranean cockpit,Shipman,Slovenia,,59,from 2013,,,,,,190.0,72.0,,,,,,,,,,
Shipman 63,Sailing yacht,"The Shipman 63 is produced by the brand Shipman since 2013. Shipman 63 is a 19.20 meters luxury cruising yacht with 3 guest cabins and a draft of 3.95 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Shipman 63 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/262-shipman-63,19.2,63.0,4.95,16.25,3.95,13.0,,16.5 (half load),910.0,440.0,,3.0,6.0,,101.0,,,,140.0,,Fixed,A - Ocean,Monohull,Carbon,Modern / Mainstream,Cruiser,With mediterranean cockpit,Shipman,Slovenia,,63,from 2013,,,,,,312.0,94.0,,,,,,,,,,
Shipman 80,Sailing yacht,"The Shipman 80 is produced by the brand Shipman since 2008. Shipman 80 is a 24 meters luxury cruising yacht with 3 guest cabins and a draft of 4 meters. The yacht has a carbon hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Shipman 80 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/260-shipman-80,24.0,78.75,5.95,19.583333333333332,4.0,13.166666666666666,,31.5 (half load),1500.0,1100.0,,3.0,6.0,,154.0,,,,,,Lifting,A - Ocean,Monohull,Carbon,Modern / Mainstream,Cruiser,With mediterranean cockpit,Shipman,Slovenia,,80,from 2008,,,,,,494.0,142.0,,,,,,,,,,
Solaris 55,Sailing yacht,"The Solaris 55 is produced by the brand Solaris since 2017. Solaris 55 is a 16.70 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 3.00 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Solaris 55 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8310-solaris-55,16.7,54.833333333333336,4.85,15.916666666666666,3.0,9.916666666666666,,17.6 (half load),380.0,520.0,,3.0,6.0,3.0,98.0,,,78.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Solaris,Italy,,55,from 2017,1.0,,,,,,,,,,,,,,,,
Solaris 50,Sailing yacht,"The Solaris 50 is produced by the brand Solaris since 2015. Solaris 50 is a 15.40 meters cruising yacht with a Mediterranean cockpit with 3 guest cabins and a draft of 2.80 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Solaris 50 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/6215-solaris-50,15.4,50.583333333333336,4.55,15.0,2.8,9.25,,14.2 (half load),350.0,500.0,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Solaris,Italy,,50,from 2015,,,,,,,,,,,,,,,,,
Wauquiez Pilot Saloon 42,Sailing yacht,"The Wauquiez Pilot Saloon 42 is produced by the brand Wauquiez Boats since 2018. Wauquiez Pilot Saloon 42 is a 12.99 meters yacht with deck saloon with 3 guest cabins and a draft of 1.65 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Wauquiez Pilot Saloon 42 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8514-wauquiez-boats-pilot-saloon-42,12.99,42.666666666666664,4.34,14.25,1.65,5.416666666666667,11.0,,,,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With mediterranean cockpit,Wauquiez Boats,France,Pilot Saloon,Pilot Saloon 42,from 2018,,,,,,,,,,,,,,,,,
Wauquiez Pilot Saloon 58,Sailing yacht,"The Wauquiez Pilot Saloon 58 is produced by the brand Wauquiez Boats since 2016. Wauquiez Pilot Saloon 58 is a 17.70 meters yacht with deck saloon with 4 guest cabins and a draft of 2.30 meters. The yacht has a fiberglass / grp hull with a CE certification class (C) and can navigate along the coastline, on rivers and canals. The base price of a new Wauquiez Pilot Saloon 58 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/8515-wauquiez-boats-pilot-saloon-58,17.7,58.083333333333336,4.95,16.25,2.3,7.583333333333333,,,,,,4.0,8.0,3.0,79.0,,,54.0,111.0,,Fixed,C - Coastal waters,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With deck saloon,Wauquiez Boats,France,Pilot Saloon,Pilot Saloon 58,from 2016,1.0,,,,,187.0,,,,,,,,,,,
Wauquiez Centurion 57,Sailing yacht,"The Wauquiez Centurion 57 is produced by the brand Wauquiez Boats since 2013. Wauquiez Centurion 57 is a 17.40 meters sport cruiser with 3 guest cabins and a draft of 2.10 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Wauquiez Centurion 57 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/2976-wauquiez-boats-centurion-57,17.4,57.166666666666664,4.95,16.25,2.1,6.916666666666667,,18 (half load),615.0,1015.0,,3.0,6.0,,87.0,,,65.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Performance Cruiser,With mediterranean cockpit,Wauquiez Boats,France,Centurion,Centurion 57,from 2013,1.0,,,,,198.0,,,,,,,,,,,
Allures 45.9,Sailing yacht,The Allures 45.9 is produced by the brand Allures since 2017. Allures 45.9 is a 14.75 meters aluminium sailing yacht with 3 guest cabins and a draft of 2.90 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Allures 45.9 is €530.6 thousand.,"from €530,648",https://itboat.com/models/9150-allures-45-9,14.75,48.416666666666664,4.43,14.583333333333334,2.9,9.583333333333334,,12.6 (half load),625.0,420.0,,3.0,6.0,2.0,52.0,,,,,,Lifting,A - Ocean,Monohull,Aluminum,Modern / Mainstream,Cruiser,With deck saloon,Allures,France,,45.9,from 2017,,,,,,160.0,,,,,,,,,,,
Alphena One,Sailing yacht,"The Alphena One is produced by the brand Alphena Alphena One is a 8.50 meters sport keel monotype with a draft of 1.60 meters. The base price of a new Alphena One is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/1695-alphena-one,8.5,27.916666666666668,2.36,7.75,1.6,5.25,,1.6 (half load),,,,,,,,,,,,,,,,,,,,Alphena,France,,One,,,,,,,,,,,,,,,,,,
Alubat Ovnicat 48,Sailing yacht,The Alubat Ovnicat 48 is produced by the brand Alubat since 2018. Alubat Ovnicat 48 is a 14.94 meters aluminium sailing yacht with 3 guest cabins and a draft of 1.25 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Alubat Ovnicat 48 is €1.2 million.,"from €1,200,000",https://itboat.com/models/7819-alubat-ovnicat-48,14.94,49.083333333333336,7.75,25.5,1.25,4.166666666666667,,,500.0,430.0,,3.0,6.0,2.0,,,,,,,Fixed,A - Ocean,Catamaran,Aluminum,Modern / Mainstream,Cruiser,With deck saloon,Alubat,France,OVNICAT,Ovnicat 48,from 2018,,,,,,,,,,,,,,,,,
Alubat Ovni 450,Sailing yacht,The Alubat Ovni 450 is produced by the brand Alubat since 2018. Alubat Ovni 450 is a 13.95 meters aluminium sailing yacht with 3 guest cabins and a draft of 2.90 meters. The yacht has a aluminum hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Alubat Ovni 450 is €550.0 thousand.,"from €550,000",https://itboat.com/models/7818-alubat-ovni-450,13.95,45.833333333333336,4.29,14.083333333333334,2.9,9.583333333333334,,12 (half load),500.0,540.0,,3.0,6.0,2.0,44.0,,,52.0,,,Lifting,A - Ocean,Monohull,Aluminum,Modern / Mainstream,Cruiser,With mediterranean cockpit,Alubat,France,OVNI,Ovni 450,from 2018,,,,,,,25.0,,,,,,,,,,
Amel 50,Sailing yacht,"The Amel 50 is produced by the brand Amel since 2016. Amel 50 is a 16.5 meters center-cockpit yacht with 3 guest cabins and a draft of 2.15 meters. The yacht has a fiberglass / grp hull with a CE certification class (A) and can navigate in the open ocean. The base price of a new Amel 50 is not currently published, please contact the itBoat team for pricing details.",Price on request,https://itboat.com/models/7449-amel-50,16.5,54.166666666666664,4.79,15.75,2.15,7.083333333333333,,18.75 (unloaded),675.0,600.0,,3.0,6.0,2.0,,,,64.0,,,Fixed,A - Ocean,Monohull,Fiberglass / GRP,Modern / Mainstream,Cruiser,With central / scandinavian cockpit,Amel,France,,50,2016 – 2021,,,,,62.0,,,24.0,,,,,,,,,
